2023-03-13 15:50:33,171 INFO    MainThread:16393 [wandb_setup.py:_flush():76] Configure stats pid to 16393
2023-03-13 15:50:33,172 INFO    MainThread:16393 [wandb_setup.py:_flush():76] Loading settings from /Users/ragab/.config/wandb/settings
2023-03-13 15:50:33,172 INFO    MainThread:16393 [wandb_setup.py:_flush():76] Loading settings from /Users/ragab/Library/CloudStorage/OneDrive-NanyangTechnologicalUniversity/Scientist I Work/Developed Methods/AdaTime/wandb/settings
2023-03-13 15:50:33,172 INFO    MainThread:16393 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-13 15:50:33,172 INFO    MainThread:16393 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-13 15:50:33,172 INFO    MainThread:16393 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/Users/ragab/Library/CloudStorage/OneDrive-NanyangTechnologicalUniversity/Scientist I Work/Developed Methods/AdaTime/main.py'}
2023-03-13 15:50:33,172 INFO    MainThread:16393 [wandb_init.py:_log_setup():506] Logging user logs to /Users/ragab/Library/CloudStorage/OneDrive-NanyangTechnologicalUniversity/Scientist I Work/Developed Methods/AdaTime/wandb/run-20230313_155033-inb2jqk6/logs/debug.log
2023-03-13 15:50:33,172 INFO    MainThread:16393 [wandb_init.py:_log_setup():507] Logging internal logs to /Users/ragab/Library/CloudStorage/OneDrive-NanyangTechnologicalUniversity/Scientist I Work/Developed Methods/AdaTime/wandb/run-20230313_155033-inb2jqk6/logs/debug-internal.log
2023-03-13 15:50:33,173 INFO    MainThread:16393 [wandb_init.py:init():546] calling init triggers
2023-03-13 15:50:33,173 INFO    MainThread:16393 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.005, 'src_cls_loss_wt': 8.67, 'coral_wt': 0.44, 'num_epochs': 40, 'batch_size': 32, 'weight_decay': 0.0001}
2023-03-13 15:50:33,173 INFO    MainThread:16393 [wandb_init.py:init():602] starting backend
2023-03-13 15:50:33,173 INFO    MainThread:16393 [wandb_init.py:init():606] setting up manager
2023-03-13 15:50:33,177 INFO    MainThread:16393 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-03-13 15:50:33,182 INFO    MainThread:16393 [wandb_init.py:init():613] backend started and connected
2023-03-13 15:50:33,189 INFO    MainThread:16393 [wandb_init.py:init():701] updated telemetry
2023-03-13 15:50:33,215 INFO    MainThread:16393 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-13 15:50:33,978 INFO    MainThread:16393 [wandb_run.py:_on_init():2131] communicating current version
2023-03-13 15:50:34,245 INFO    MainThread:16393 [wandb_run.py:_on_init():2140] got version response 
2023-03-13 15:50:34,245 INFO    MainThread:16393 [wandb_init.py:init():789] starting run threads in backend
2023-03-13 15:50:39,883 INFO    MainThread:16393 [wandb_run.py:_console_start():2112] atexit reg
2023-03-13 15:50:39,883 INFO    MainThread:16393 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.WRAP_RAW
2023-03-13 15:50:39,884 INFO    MainThread:16393 [wandb_run.py:_redirect():2032] Wrapping output streams.
2023-03-13 15:50:39,884 INFO    MainThread:16393 [wandb_run.py:_redirect():2057] Redirects installed.
2023-03-13 15:50:39,885 INFO    MainThread:16393 [wandb_init.py:init():831] run started, returning control to user process
